age,job,marital,education,default,housing,loan,contact,month,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
50,6,0,4,0,1,0,1,4,305,2,1,-3.4,92.431,-26.9,0.754,5017.5,1
37,2,1,4,0,1,0,1,4,447,3,0,-3.4,92.431,-26.9,0.754,5017.5,1
59,4,1,0,0,0,0,1,4,86,1,2,-3.4,92.431,-26.9,0.754,5017.5,0
31,2,0,4,0,1,0,1,4,760,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
35,2,0,1,0,1,0,1,4,194,1,1,-3.4,92.431,-26.9,0.754,5017.5,1
35,2,0,1,0,0,0,1,4,302,1,2,-3.4,92.431,-26.9,0.754,5017.5,0
36,2,0,4,0,1,0,1,4,66,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
69,5,0,4,0,1,0,1,4,199,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
65,2,0,4,0,1,0,1,4,120,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
49,4,2,3,0,0,0,1,4,56,1,2,-3.4,92.431,-26.9,0.754,5017.5,0
49,4,2,3,0,0,0,1,4,237,1,2,-3.4,92.431,-26.9,0.754,5017.5,0
49,4,2,3,0,1,0,1,4,168,1,1,-3.4,92.431,-26.9,0.754,5017.5,0
78,5,0,0,0,1,0,0,4,321,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
32,2,0,4,0,1,0,1,4,177,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
50,6,0,4,0,1,0,0,4,258,1,1,-3.4,92.431,-26.9,0.754,5017.5,0
71,5,0,0,0,0,0,1,4,250,2,2,-3.4,92.431,-26.9,0.754,5017.5,0
29,2,1,4,0,1,0,1,4,99,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
51,4,0,2,0,1,0,1,4,67,6,3,-3.4,92.431,-26.9,0.754,5017.5,0
49,4,2,3,0,1,1,1,4,81,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
23,7,1,0,0,1,0,1,4,238,1,1,-3.4,92.431,-26.9,0.754,5017.5,1
38,2,0,1,0,1,0,1,4,82,1,1,-3.4,92.431,-26.9,0.754,5017.5,0
71,5,0,0,0,1,0,1,4,137,1,1,-3.4,92.431,-26.9,0.754,5017.5,1
26,4,1,4,0,1,0,1,4,152,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
54,6,2,4,1,1,0,1,4,214,1,0,-3.4,92.431,-26.9,0.754,5017.5,0
75,5,2,0,1,1,0,1,4,502,1,0,-3.4,92.431,-26.9,0.754,5017.5,1
83,5,0,2,0,1,0,1,4,849,2,1,-3.4,92.431,-26.9,0.752,5017.5,1
28,7,1,0,0,1,1,1,4,462,1,0,-3.4,92.431,-26.9,0.752,5017.5,0
63,5,0,0,0,1,0,1,4,91,2,0,-3.4,92.431,-26.9,0.752,5017.5,0
28,7,1,0,0,1,0,1,4,160,2,1,-3.4,92.431,-26.9,0.752,5017.5,0
71,5,0,0,0,0,0,1,4,131,2,0,-3.4,92.431,-26.9,0.752,5017.5,0
82,5,0,4,0,1,0,1,4,215,1,0,-3.4,92.431,-26.9,0.744,5017.5,1
45,3,0,2,0,0,0,1,4,117,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
68,5,0,1,0,1,0,1,4,88,1,2,-3.4,92.431,-26.9,0.744,5017.5,0
37,0,1,4,0,1,0,1,4,89,1,1,-3.4,92.431,-26.9,0.744,5017.5,0
43,6,1,4,0,1,0,1,4,205,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
43,6,1,4,0,0,0,1,4,408,1,1,-3.4,92.431,-26.9,0.744,5017.5,0
69,5,2,2,0,0,0,1,4,144,1,0,-3.4,92.431,-26.9,0.744,5017.5,1
82,5,0,4,0,1,1,1,4,63,1,1,-3.4,92.431,-26.9,0.744,5017.5,0
82,5,0,4,0,1,0,1,4,526,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
80,5,2,0,0,0,0,1,4,96,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
65,5,0,1,0,1,0,1,4,384,2,0,-3.4,92.431,-26.9,0.744,5017.5,1
80,5,2,0,0,0,0,1,4,125,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
41,4,0,2,0,1,0,1,4,304,2,0,-3.4,92.431,-26.9,0.744,5017.5,0
27,2,0,1,0,0,0,1,4,572,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
56,9,0,0,0,1,0,1,4,172,1,0,-3.4,92.431,-26.9,0.744,5017.5,0
56,9,0,0,0,0,0,1,4,480,1,2,-3.4,92.431,-26.9,0.744,5017.5,1
37,0,1,4,0,0,0,1,4,296,3,0,-3.4,92.431,-26.9,0.744,5017.5,1
36,2,0,4,0,1,0,1,4,133,1,1,-3.4,92.431,-26.9,0.74,5017.5,0
63,5,0,1,0,1,0,1,4,323,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
30,7,1,1,0,1,1,1,4,953,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
50,9,0,3,0,0,0,1,4,209,1,3,-3.4,92.431,-26.9,0.74,5017.5,1
35,2,0,4,0,0,0,1,4,371,1,1,-3.4,92.431,-26.9,0.74,5017.5,1
86,5,2,0,0,2,2,1,4,130,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
48,6,0,4,0,1,1,1,4,157,2,0,-3.4,92.431,-26.9,0.74,5017.5,0
34,8,0,4,0,0,0,1,4,201,1,3,-3.4,92.431,-26.9,0.74,5017.5,1
58,4,0,0,0,0,1,1,4,867,2,2,-3.4,92.431,-26.9,0.74,5017.5,0
38,2,0,4,0,1,0,1,4,90,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
60,2,0,3,0,1,0,1,4,290,1,1,-3.4,92.431,-26.9,0.74,5017.5,1
48,6,0,4,0,0,0,1,4,81,1,1,-3.4,92.431,-26.9,0.74,5017.5,1
48,6,0,4,0,1,0,1,4,294,1,1,-3.4,92.431,-26.9,0.74,5017.5,1
48,6,0,4,0,0,0,1,4,301,1,1,-3.4,92.431,-26.9,0.74,5017.5,0
35,4,0,4,0,1,0,0,4,73,2,0,-3.4,92.431,-26.9,0.74,5017.5,0
38,2,0,4,0,0,0,1,4,180,2,1,-3.4,92.431,-26.9,0.74,5017.5,0
58,4,0,0,0,1,0,0,4,88,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
53,2,0,3,0,1,0,1,4,73,2,0,-3.4,92.431,-26.9,0.74,5017.5,0
58,4,0,0,0,1,0,1,4,525,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
32,2,0,4,0,1,1,1,4,223,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
63,5,0,1,0,0,0,1,4,335,1,0,-3.4,92.431,-26.9,0.74,5017.5,1
63,5,0,1,0,0,0,1,4,1386,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
41,4,0,2,0,0,0,1,4,173,2,0,-3.4,92.431,-26.9,0.741,5017.5,0
48,2,0,1,0,0,0,1,4,113,1,0,-3.4,92.431,-26.9,0.741,5017.5,0
69,4,0,2,0,1,0,1,4,189,1,0,-3.4,92.431,-26.9,0.741,5017.5,0
42,6,2,3,0,1,0,1,4,148,1,0,-3.4,92.431,-26.9,0.741,5017.5,0
42,6,2,3,0,1,0,0,4,259,1,0,-3.4,92.431,-26.9,0.741,5017.5,0
42,6,2,3,0,0,0,1,4,78,1,0,-3.4,92.431,-26.9,0.741,5017.5,0
77,5,2,3,0,0,0,1,4,97,2,0,-3.4,92.431,-26.9,0.741,5017.5,0
54,6,2,4,0,1,0,1,4,234,2,1,-3.4,92.431,-26.9,0.741,5017.5,1
36,4,0,2,1,0,0,1,4,667,1,0,-3.4,92.431,-26.9,0.741,5017.5,1
37,6,1,0,0,0,0,1,4,137,1,0,-3.4,92.431,-26.9,0.741,5017.5,1
69,4,0,2,0,1,0,1,4,676,1,0,-3.4,92.431,-26.9,0.741,5017.5,0
42,6,1,4,0,0,0,1,4,1106,2,0,-3.4,92.431,-26.9,0.743,5017.5,1
29,7,2,1,0,0,0,1,4,181,2,0,-3.4,92.431,-26.9,0.743,5017.5,0
59,4,0,4,0,0,0,1,4,268,1,1,-3.4,92.431,-26.9,0.743,5017.5,0
42,6,1,4,0,1,0,1,4,105,1,0,-3.4,92.431,-26.9,0.743,5017.5,1
42,6,1,4,0,0,0,1,4,134,1,1,-3.4,92.431,-26.9,0.743,5017.5,0
59,4,0,4,0,1,0,1,4,511,3,1,-3.4,92.431,-26.9,0.743,5017.5,1
42,6,1,4,0,1,0,1,4,138,1,0,-3.4,92.431,-26.9,0.743,5017.5,1
75,5,0,0,0,0,0,1,4,120,1,0,-3.4,92.431,-26.9,0.743,5017.5,0
36,2,0,4,0,1,1,1,4,78,1,1,-3.4,92.431,-26.9,0.743,5017.5,1
29,7,2,1,0,0,0,1,4,92,1,0,-3.4,92.431,-26.9,0.743,5017.5,0
42,6,1,4,0,0,0,1,4,146,1,0,-3.4,92.431,-26.9,0.743,5017.5,1
33,3,0,0,0,1,0,0,4,99,3,1,-3.4,92.431,-26.9,0.743,5017.5,0
77,5,0,4,0,0,1,1,4,348,1,0,-3.4,92.431,-26.9,0.743,5017.5,1
70,5,0,4,0,1,0,1,4,837,2,1,-3.4,92.431,-26.9,0.743,5017.5,0
38,4,2,2,0,0,1,1,4,135,1,2,-3.4,92.431,-26.9,0.742,5017.5,0
32,2,0,2,0,1,0,1,4,435,1,0,-3.4,92.431,-26.9,0.742,5017.5,1
44,4,0,0,0,1,0,1,4,306,1,1,-3.4,92.431,-26.9,0.742,5017.5,0
48,2,0,0,0,0,0,1,4,61,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
80,5,0,0,0,1,1,1,4,78,1,1,-3.4,92.431,-26.9,0.742,5017.5,0
71,5,1,4,0,2,2,1,4,98,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
71,5,1,4,0,1,0,1,4,167,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
71,5,1,4,0,0,0,0,4,120,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
26,11,1,0,0,2,2,1,4,92,1,1,-3.4,92.431,-26.9,0.742,5017.5,0
30,6,0,4,0,0,0,1,4,411,2,0,-3.4,92.431,-26.9,0.742,5017.5,1
35,11,1,4,0,1,0,1,4,79,2,0,-3.4,92.431,-26.9,0.742,5017.5,1
30,6,0,4,0,1,0,1,4,1226,2,0,-3.4,92.431,-26.9,0.742,5017.5,1
80,5,0,0,0,0,0,1,4,242,1,2,-3.4,92.431,-26.9,0.742,5017.5,1
45,3,1,0,0,0,0,1,4,845,1,2,-3.4,92.431,-26.9,0.742,5017.5,0
33,7,0,1,0,0,1,1,4,227,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
58,7,0,0,0,0,1,1,4,49,1,2,-3.4,92.431,-26.9,0.742,5017.5,0
55,4,0,2,0,1,0,1,4,182,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
55,4,0,2,0,0,0,1,4,213,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
55,4,0,2,0,0,0,1,4,285,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
48,4,0,2,0,0,1,0,4,200,2,0,-3.4,92.431,-26.9,0.742,5017.5,0
32,2,0,2,0,1,0,1,4,169,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
32,2,0,2,0,0,1,1,4,221,1,1,-3.4,92.431,-26.9,0.742,5017.5,1
22,11,1,1,0,1,0,1,4,210,1,1,-3.4,92.431,-26.9,0.742,5017.5,1
26,11,1,0,0,1,0,1,4,75,2,1,-3.4,92.431,-26.9,0.742,5017.5,0
27,4,1,3,0,0,0,1,4,404,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
56,2,0,0,0,1,0,1,4,1573,2,1,-3.4,92.431,-26.9,0.742,5017.5,0
17,11,1,3,0,0,1,1,4,896,1,2,-3.4,92.431,-26.9,0.742,5017.5,1
33,7,0,1,0,1,1,1,4,301,2,0,-3.4,92.431,-26.9,0.742,5017.5,1
45,3,1,0,0,0,1,1,4,204,2,1,-3.4,92.431,-26.9,0.742,5017.5,1
26,11,1,0,0,1,0,0,4,1003,3,0,-3.4,92.431,-26.9,0.742,5017.5,1
48,2,0,0,0,1,0,1,4,115,2,2,-3.4,92.431,-26.9,0.742,5017.5,0
80,5,0,0,0,0,0,1,4,82,2,0,-3.4,92.431,-26.9,0.742,5017.5,0
44,3,1,2,0,0,0,1,4,123,2,0,-3.4,92.431,-26.9,0.742,5017.5,0
28,4,1,1,0,0,0,1,4,216,1,1,-3.4,92.431,-26.9,0.742,5017.5,1
28,4,1,1,0,2,2,1,4,84,1,1,-3.4,92.431,-26.9,0.742,5017.5,1
28,2,1,1,0,0,0,0,4,958,1,0,-3.4,92.431,-26.9,0.742,5017.5,1
36,2,1,4,0,0,0,1,4,146,1,1,-3.4,92.431,-26.9,0.742,5017.5,0
71,5,0,0,0,0,0,1,4,237,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
36,2,1,4,0,1,0,1,4,113,1,2,-3.4,92.431,-26.9,0.742,5017.5,0
74,5,0,3,0,1,1,1,4,251,1,0,-3.4,92.431,-26.9,0.742,5017.5,1
37,4,0,4,0,1,0,1,4,364,1,1,-3.4,92.431,-26.9,0.742,5017.5,1
36,2,0,4,0,1,0,1,4,104,1,2,-3.4,92.431,-26.9,0.742,5017.5,0
37,3,1,2,0,0,0,1,4,727,3,0,-3.4,92.431,-26.9,0.742,5017.5,0
56,2,0,0,0,0,0,1,4,79,2,0,-3.4,92.431,-26.9,0.742,5017.5,0
38,2,0,1,0,1,0,1,4,108,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
35,4,0,4,0,1,0,1,4,68,1,0,-3.4,92.431,-26.9,0.742,5017.5,0
42,10,0,0,0,0,0,1,4,122,3,0,-3.4,92.431,-26.9,0.742,5017.5,0
34,6,0,4,0,0,0,0,4,290,2,0,-3.4,92.431,-26.9,0.742,5017.5,1
28,4,1,4,0,1,1,1,4,166,2,0,-3.4,92.431,-26.9,0.742,5017.5,0
36,2,0,4,0,0,0,1,4,632,2,0,-3.4,92.431,-26.9,0.742,5017.5,0
36,7,0,1,0,0,0,0,4,130,2,0,-3.4,92.431,-26.9,0.74,5017.5,0
33,2,1,4,0,0,0,1,4,441,5,1,-3.4,92.431,-26.9,0.74,5017.5,1
37,3,0,0,0,1,0,1,4,262,4,0,-3.4,92.431,-26.9,0.74,5017.5,0
35,2,0,4,0,1,0,1,4,86,1,1,-3.4,92.431,-26.9,0.74,5017.5,0
49,2,1,4,0,0,0,1,4,73,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
28,11,1,1,0,0,0,0,4,280,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
34,4,1,2,0,0,0,1,4,138,1,1,-3.4,92.431,-26.9,0.74,5017.5,0
30,8,1,1,0,0,0,0,4,172,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
44,2,2,1,0,0,0,1,4,634,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
28,2,1,4,0,1,0,1,4,522,2,0,-3.4,92.431,-26.9,0.74,5017.5,0
68,5,0,2,0,0,0,1,4,76,1,1,-3.4,92.431,-26.9,0.74,5017.5,0
37,3,0,0,0,0,0,1,4,244,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
37,3,0,0,0,1,0,1,4,68,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
40,1,0,2,0,1,0,1,4,244,1,1,-3.4,92.431,-26.9,0.74,5017.5,1
28,11,1,3,0,1,0,1,4,231,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
74,5,0,2,0,1,0,1,4,96,2,1,-3.4,92.431,-26.9,0.74,5017.5,0
35,2,0,4,0,1,0,1,4,126,2,0,-3.4,92.431,-26.9,0.74,5017.5,0
74,5,0,0,0,1,0,1,4,134,2,1,-3.4,92.431,-26.9,0.74,5017.5,1
37,3,0,0,0,0,0,1,4,246,5,0,-3.4,92.431,-26.9,0.74,5017.5,0
37,3,0,0,0,0,0,1,4,128,2,3,-3.4,92.431,-26.9,0.74,5017.5,1
33,2,1,4,0,1,0,0,4,166,3,2,-3.4,92.431,-26.9,0.74,5017.5,1
25,2,1,4,0,1,1,0,4,227,1,0,-3.4,92.431,-26.9,0.74,5017.5,0
37,6,1,4,0,0,0,1,4,570,1,1,-3.4,92.431,-26.9,0.74,5017.5,1
83,5,0,0,0,0,0,1,4,138,2,0,-3.4,92.431,-26.9,0.739,5017.5,0
25,2,1,4,0,1,1,1,4,115,1,1,-3.4,92.431,-26.9,0.739,5017.5,1
28,1,0,0,0,1,0,0,4,186,1,1,-3.4,92.431,-26.9,0.739,5017.5,1
28,1,0,0,0,1,0,1,4,847,1,1,-3.4,92.431,-26.9,0.739,5017.5,1
85,0,2,0,1,1,0,0,4,181,2,0,-3.4,92.431,-26.9,0.739,5017.5,0
22,11,1,1,0,0,0,1,4,154,2,1,-3.4,92.431,-26.9,0.739,5017.5,1
32,8,0,2,0,0,1,1,4,55,2,0,-3.4,92.431,-26.9,0.739,5017.5,0
25,2,1,4,0,2,2,1,4,1580,2,0,-3.4,92.431,-26.9,0.739,5017.5,0
39,4,0,4,0,0,0,1,4,170,1,1,-3.4,92.431,-26.9,0.739,5017.5,1
33,4,0,2,0,1,0,1,4,154,2,0,-3.4,92.431,-26.9,0.739,5017.5,1
40,2,0,4,0,1,1,1,4,109,5,0,-3.4,92.431,-26.9,0.739,5017.5,0
38,2,0,4,0,1,0,1,4,131,2,1,-3.4,92.431,-26.9,0.739,5017.5,0
39,4,0,4,0,1,0,1,4,141,1,2,-3.4,92.431,-26.9,0.739,5017.5,0
39,2,1,1,0,0,0,1,4,95,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
39,2,1,1,0,1,0,1,4,132,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
33,2,1,4,0,1,0,1,4,233,1,0,-3.4,92.431,-26.9,0.739,5017.5,1
60,8,0,4,0,1,0,0,4,128,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
33,8,1,2,0,1,1,0,4,193,1,1,-3.4,92.431,-26.9,0.739,5017.5,0
26,2,1,4,0,0,0,1,4,306,1,0,-3.4,92.431,-26.9,0.739,5017.5,1
30,4,1,2,0,1,0,0,4,169,2,0,-3.4,92.431,-26.9,0.739,5017.5,0
36,1,0,1,0,1,0,1,4,104,1,1,-3.4,92.431,-26.9,0.739,5017.5,0
36,1,0,1,0,0,0,1,4,141,1,2,-3.4,92.431,-26.9,0.739,5017.5,0
49,2,1,1,0,0,0,1,4,165,1,1,-3.4,92.431,-26.9,0.739,5017.5,0
49,2,1,1,0,1,0,0,4,434,1,1,-3.4,92.431,-26.9,0.739,5017.5,1
28,2,1,4,0,0,0,1,4,317,2,0,-3.4,92.431,-26.9,0.739,5017.5,0
50,4,0,2,0,2,2,1,4,447,1,2,-3.4,92.431,-26.9,0.739,5017.5,1
33,2,0,4,0,0,0,1,4,130,1,1,-3.4,92.431,-26.9,0.739,5017.5,1
38,4,0,4,0,0,0,1,4,156,1,0,-3.4,92.431,-26.9,0.739,5017.5,1
28,6,1,4,0,0,0,1,4,324,1,1,-3.4,92.431,-26.9,0.739,5017.5,1
62,5,0,4,1,0,0,1,4,717,2,0,-3.4,92.431,-26.9,0.739,5017.5,1
34,6,0,4,0,1,0,1,4,87,1,1,-3.4,92.431,-26.9,0.739,5017.5,0
44,3,0,2,0,0,0,1,4,283,1,2,-3.4,92.431,-26.9,0.739,5017.5,0
32,2,1,4,0,0,0,1,4,147,2,1,-3.4,92.431,-26.9,0.739,5017.5,0
49,2,1,1,0,1,0,1,4,136,2,0,-3.4,92.431,-26.9,0.739,5017.5,1
36,2,0,4,0,0,0,1,4,342,1,2,-3.4,92.431,-26.9,0.739,5017.5,1
36,6,0,0,0,0,0,1,4,143,2,0,-3.4,92.431,-26.9,0.739,5017.5,0
70,5,0,0,0,1,0,1,4,131,1,0,-3.4,92.431,-26.9,0.739,5017.5,1
34,2,1,4,0,0,0,1,4,131,1,1,-3.4,92.431,-26.9,0.739,5017.5,0
29,6,1,4,0,0,0,1,4,94,1,2,-3.4,92.431,-26.9,0.739,5017.5,0
21,11,1,1,0,0,1,1,4,238,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
60,5,0,0,0,0,0,1,4,98,1,0,-3.4,92.431,-26.9,0.739,5017.5,1
60,5,0,0,0,0,0,1,4,599,1,1,-3.4,92.431,-26.9,0.739,5017.5,0
60,5,0,0,0,1,0,1,4,1020,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
25,2,1,4,0,1,0,1,4,123,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
36,2,1,1,0,1,0,1,4,113,1,1,-3.4,92.431,-26.9,0.739,5017.5,0
55,10,0,2,0,1,0,1,4,534,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
60,5,0,0,0,0,0,1,4,82,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
55,10,0,2,0,0,0,1,4,116,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
30,1,1,1,0,0,0,1,4,120,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
32,1,0,1,0,0,0,1,4,217,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
54,7,2,1,0,0,1,1,4,54,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
20,11,1,1,0,0,1,1,4,169,1,0,-3.4,92.431,-26.9,0.739,5017.5,0
36,6,0,0,0,1,0,1,4,109,3,0,-3.4,92.431,-26.9,0.739,5017.5,0
38,3,0,0,0,1,0,1,4,167,3,0,-3.4,92.431,-26.9,0.739,5017.5,0
